IRIS;DEC_PIMP21;DEC_TP6021;DEC_INCERT21;DEC_Q121;DEC_MED21;DEC_Q321;DEC_EQ21;DEC_D121;DEC_D221;DEC_D321;DEC_D421;DEC_D621;DEC_D721;DEC_D821;DEC_D921;DEC_RD21;DEC_S80S2021;DEC_GI21;DEC_PACT21;DEC_PTSA21;DEC_PCHO21;DEC_PBEN21;DEC_PPEN21;DEC_PAUT21;DEC_NOTE21
010040101;43,0;29,0;2;12610;19330;26390;0,71;7760;11300;13900;16440;21760;24660;28120;33850;4,4;6,3;0,318;69,3;62,5;3,2;3,6;27,1;3,6;0
010040102;42,0;39,0;1;9730;16830;24620;0,89;4680;8600;11070;13910;19560;22940;26880;33030;7,1;9,0;0,362;70,5;63,7;4,4;2,4;25,6;3,9;0
010040201;47,0;29,0;1;12220;19940;27650;0,77;6500;10300;14220;17130;22570;25580;29920;37220;5,7;8,0;0,352;69,3;61,9;3,6;3,8;26,7;4,0;0
010040202;62,0;14,0;1;18350;25560;35010;0,65;11960;16450;19860;22810;28630;32670;37460;45520;3,8;6,3;0,360;65,5;60,0;2,3;3,2;21,8;12,7;0
010330102;42,0;31,0;1;11280;19870;30050;0,94;5250;9790;13120;16750;23640;27430;34260;44820;8,5;10,6;0,390;74,1;67,5;4,8;1,8;23,0;2,9;0
010330103;49,0;23,0;2;14480;24250;37150;0,94;7390;12160;16780;20630;28920;33720;42220;52060;7,0;9,3;0,382;76,1;69,6;3,9;2,6;20,6;3,3;0
010330201;50,0;19,0;1;16680;26260;38330;0,82;8940;14140;18700;22560;29630;34600;42000;57920;6,5;8,2;0,370;71,9;66,2;3,6;2,1;24,6;3,5;0
010330202;40,0;36,0;1;10810;18380;28270;0,95;5630;9110;12180;15200;22020;26220;31770;42550;7,6;10,0;0,389;68,1;62,5;4,4;1,2;30,3;1,6;0
010330301;39,0;27,0;2;13000;21760;32830;0,91;7590;11190;15550;18350;25600;29570;35610;45980;6,1;6,9;0,343;79,8;74,4;4,7;0,7;18,7;1,5;0
010330401;53,0;12,0;1;20080;29300;41880;0,74;13120;18070;22090;25640;33740;38590;46470;58590;4,5;6,0;0,336;77,5;71,6;3,3;2,6;17,6;4,9;0
010340101;55,0;15,0;1;17410;22830;29950;0,55;11290;15760;18470;20520;24990;28230;32310;40250;3,6;5,0;0,302;63,0;55,3;2,7;5,0;31,6;5,4;0
010340102;46,0;27,0;1;13090;19930;28100;0,75;7300;11150;14750;17250;22640;26270;30740;38940;5,3;6,9;0,336;60,0;53,0;3,3;3,7;36,1;3,9;0
010340103;41,0;39,0;2;9480;16790;25000;0,92;5050;8340;11070;13970;19710;22960;28060;36470;7,2;9,7;0,398;61,1;55,2;3,5;2,4;33,4;5,5;0
010530101;49,0;31,0;1;11490;20210;30400;0,94;4740;9410;13300;16540;23530;27860;33280;43750;9,2;13,4;0,430;66,8;58,4;3,5;4,9;25,0;8,2;0
010530102;51,0;26,0;1;13160;21070;29710;0,79;6040;10480;15120;18340;24090;28000;32430;41610;6,9;9,3;0,369;58,1;52,5;2,5;3,1;38,9;3,0;0
010530103;53,0;25,0;2;13840;22900;33930;0,88;5340;11460;15800;19520;26770;31260;37110;48810;9,1;12,8;0,433;58,3;50,9;2,7;4,7;31,3;10,4;0
010530201;51,0;28,0;1;12870;20320;28970;0,79;7210;11130;14890;18030;23190;26830;30870;40310;5,6;7,9;0,367;63,7;56,2;3,3;4,2;32,9;3,4;0
010530202;37,0;45,0;2;7440;15040;23150;1,04;2090;5670;8830;11870;18160;21250;25460;32590;15,6;16,7;0,430;70,5;60,6;5,1;4,8;25,2;4,3;0
010530203;49,0;27,0;1;13000;20530;28290;0,74;5500;10600;15110;18130;23700;26330;31530;39760;7,2;9,5;0,361;66,6;61,4;2,8;2,4;30,3;3,1;0
010530301;58,0;19,0;1;16200;23880;33570;0,73;7900;14180;17750;21060;27330;31190;38530;51280;6,5;8,3;0,370;65,6;60,3;2,6;2,7;29,2;5,2;0
010530302;48,0;31,0;1;11250;19500;27640;0,84;5840;9570;13300;16590;22400;25400;30040;40390;6,9;10,0;0,393;64,0;56,8;3,5;3,7;31,3;4,7;0
010530401;47,0;31,0;2;11460;19490;28220;0,86;6940;9810;13190;16380;22200;26130;30770;37850;5,5;7,2;0,341;64,7;57,4;3,2;4,1;33,4;1,9;0
010530402;61,0;18,0;1;17180;24140;31200;0,58;10360;14990;18740;21110;26540;29600;33230;40890;3,9;5,2;0,293;61,5;56,9;2,5;2,1;35,8;2,7;0
010530501;59,0;19,0;2;16210;24610;32630;0,67;9680;14150;18350;21460;27050;30170;34980;44650;4,6;6,4;0,338;51,5;46,9;1,8;2,8;43,5;5,0;0
010530502;50,0;27,0;1;12720;21070;30520;0,84;7220;11010;14570;17720;24490;27660;33790;44180;6,1;8,6;0,387;60,7;53,7;2,2;4,8;33,3;6,0;0
010530503;25,0;58,0;1;6120;11970;18270;1,01;1010;5250;7320;9630;14090;16550;20360;25780;25,5;17,9;0,431;71,0;63,4;6,2;1,4;26,5;2,5;0
010530601;33,0;49,0;1;7430;14050;21740;1,02;2000;6390;8760;11070;16640;19820;24100;29410;14,7;13,5;0,394;58,1;52,1;4,6;1,4;40,1;1,8;0
010530602;31,0;55,0;2;7000;12090;19650;1,05;2430;5880;7820;9850;15020;18150;21050;26240;10,8;11,7;0,389;58,0;50,7;5,6;1,7;39,5;2,5;0
010530603;19,0;63,0;2;6280;10560;16850;1,00;610;4390;7330;8910;12540;15330;18190;22730;37,2;18,4;0,391;65,9;s;s;s;33,7;0,4;0
010530604;55,0;23,0;2;14290;21630;29250;0,69;4430;12870;16010;19090;24200;27460;31800;38130;8,6;7,9;0,333;55,3;50,1;2,6;2,6;41,0;3,7;0
010530701;52,0;21,0;1;14700;21760;28580;0,64;7970;13100;16410;19300;24080;26740;30680;37140;4,7;7,4;0,362;65,8;60,0;2,6;3,2;27,1;7,1;0
011430101;63,0;11,0;1;25890;47480;77670;1,09;12860;21790;30070;38770;57440;70350;86190;114310;8,9;11,9;0,425;80,3;73,6;3,1;3,6;16,0;3,7;0
011430102;64,0;10,0;1;29850;55310;90200;1,09;13690;25110;34970;46560;68560;82020;99490;132220;9,7;12,6;0,422;83,6;78,7;2,4;2,5;12,2;4,2;0
011430103;65,0;11,0;1;25170;49260;84600;1,21;13120;21830;29400;38740;61360;77270;95590;121050;9,2;12,2;0,430;80,2;75,6;2,9;1,7;13,2;6,6;0
011600101;41,0;27,0;1;11770;28770;50900;1,36;10;7590;15450;22770;36440;46250;58520;78740;6617,0;46,0;0,480;79,6;75,6;2,8;1,2;16,5;3,9;0
011600102;48,0;26,0;1;13220;33780;59810;1,38;80;8860;17490;24830;43360;53570;67140;90350;1115,5;45,8;0,492;69,8;64,5;3,0;2,3;22,4;7,8;0
011600103;39,0;40,0;1;8150;19400;41610;1,73;30;5840;10070;13920;24890;35670;48190;71070;2317,2;150,3;0,770;90,2;88,3;1,4;0,5;8,5;1,3;0
011730101;55,0;18,0;1;17190;31090;51180;1,09;7290;14410;19890;25340;38360;46510;56570;78350;10,7;12,7;0,425;86,2;80,4;3,7;2,1;10,4;3,4;0
011730102;63,0;13,0;1;21220;37400;58320;0,99;11000;18400;24210;30480;44210;53090;65250;83560;7,6;9,6;0,392;84,5;80,3;2,9;1,3;11,9;3,6;0
011730103;61,0;13,0;1;22910;42080;62520;0,94;11650;19720;27380;34490;48920;57550;68080;86740;7,4;9,6;0,386;88,3;83,0;3,4;1,9;9,6;2,1;0
011940101;53,0;19,0;1;15560;22950;30070;0,63;9270;14030;17030;20220;25660;28580;32150;39140;4,2;5,3;0,293;66,7;60,2;3,3;3,2;30,5;2,8;0
011940102;63,0;13,0;2;18740;26000;35520;0,65;11840;17110;20480;22960;28420;33060;37450;46310;3,9;4,6;0,285;70,1;63,9;2,7;3,5;25,0;4,9;0
012020101;58,0;14,0;1;18050;24750;32740;0,59;11830;15990;19490;22290;27510;30800;35300;43050;3,6;4,5;0,277;69,1;63,1;2,8;3,2;26,9;4,0;0
012020102;53,0;17,0;1;16440;22970;30540;0,61;10450;14650;17750;20360;25550;28390;32870;40960;3,9;5,2;0,303;67,3;60,7;2,7;3,9;28,9;3,8;0
012440101;59,0;14,0;1;17800;25700;35130;0,67;11310;15590;19360;22030;28770;32800;37760;45330;4,0;5,3;0,306;71,7;67,1;2,5;2,1;24,4;3,9;0
012440102;50,0;22,0;1;14820;21490;30160;0,71;9130;13200;16170;18850;24650;28330;32720;40070;4,4;5,9;0,328;70,2;63,5;3,0;3,7;24,2;5,6;0
012440103;63,0;11,0;2;18710;26710;34310;0,58;12160;17250;20590;23830;29600;32440;36380;45260;3,7;4,3;0,273;79,8;74,9;2,3;2,6;17,6;2,6;0
012490101;64,0;11,0;1;19580;26290;35180;0,59;12880;18080;20860;23410;29480;32970;37810;46720;3,6;4,8;0,296;75,9;69,7;2,6;3,6;19,6;4,5;0
012490102;59,0;20,0;1;15630;24460;34480;0,77;8320;13500;17810;21410;28280;32150;37600;46430;5,6;6,6;0,324;69,2;63,9;2,7;2,6;27,0;3,8;0
012490103;71,0;8,0;1;22070;30460;40300;0,60;15050;20300;23450;26770;33830;38080;43460;53840;3,6;4,5;0,284;77,1;70,9;1,9;4,3;17,3;5,6;0
012620101;66,0;9,0;1;20770;28620;37910;0,60;14190;19200;22290;25660;31650;35270;40850;50240;3,5;4,2;0,273;74,5;67,5;2,4;4,6;20,6;4,9;0
012620102;48,0;30,0;1;12060;19390;26310;0,74;6080;10410;13840;16500;22050;24950;28430;34470;5,7;6,9;0,326;74,7;67,3;4,3;3,1;22,7;2,6;0
012830102;23,0;57,0;2;7620;12290;18300;0,87;4150;6830;8850;10510;14380;16660;19610;24050;5,8;7,1;0,333;70,4;62,9;7,2;0,3;28,7;0,9;0
012830103;26,0;52,0;1;8110;13110;19660;0,88;4590;7260;9030;10880;15640;17810;21130;26280;5,7;7,3;0,351;63,6;57,2;5,9;0,5;35,1;1,3;0
012830104;23,0;61,0;2;6960;11650;18140;0,96;3020;5930;7860;9870;13670;16330;19710;24130;8,0;9,9;0,378;72,1;61,7;7,8;2,6;27,1;0,8;0
012830201;45,0;31,0;2;11810;18640;26680;0,80;6500;10300;13540;15770;21910;25030;28830;35150;5,4;8,0;0,357;62,0;54,7;4,6;2,7;33,3;4,7;0
012830202;44,0;35,0;1;10650;18130;26110;0,85;3960;9000;12270;15280;20900;23900;28230;35770;9,0;10,6;0,368;67,5;61,6;4,2;1,7;29,3;3,2;0
012830203;31,0;45,0;2;8890;14880;23130;0,96;4910;7610;10250;12540;17980;21250;25020;32770;6,7;9,3;0,386;65,8;56,8;5,5;3,5;30,6;3,6;0
012830301;42,0;33,0;1;11530;18150;25420;0,77;5990;10030;12820;15630;20890;23400;27410;34740;5,8;7,3;0,357;68,8;62,6;4,2;2,0;28,2;3,0;0
012830302;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;so
012830303;43,0;33,0;2;10970;18980;25830;0,78;5670;8980;12510;16340;21340;24170;28340;35440;6,3;9,0;0,361;69,7;61,5;4,7;3,5;27,2;3,1;0
012830304;49,0;27,0;2;13250;20460;27320;0,69;7880;11390;14960;18010;22970;25590;28940;37840;4,8;9,8;0,447;59,3;52,6;3,0;3,7;20,7;20,0;0
012830305;69,0;9,0;2;21670;27780;38500;0,61;14490;19460;23110;25570;30840;35050;41340;54260;3,7;5,8;0,356;63,3;58,2;1,8;3,3;25,1;11,6;0
012830306;nd;nd;so;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;so;so;nd;nd;nd;nd;nd;nd;nd;so
012890101;52,0;19,0;1;15550;22230;29050;0,61;8580;13870;17100;19430;24600;27610;31680;38820;4,5;5,4;0,294;59,7;55,4;2,4;1,9;36,8;3,5;0
012890102;62,0;12,0;1;18170;25280;34190;0,63;12730;16790;19620;22720;28010;32000;37350;46650;3,7;4,8;0,300;61,1;55,8;1,8;3,5;33,4;5,5;0
013540101;41,0;23,0;1;15260;35120;63470;1,37;2580;11640;18730;26600;46500;57490;70350;89980;34,9;27,8;0,470;83,7;79,3;2,8;1,6;13,6;2,7;0
013540102;41,0;28,0;1;11480;27810;52360;1,47;0;7810;15660;21570;36450;45620;58370;76790;so;48,0;0,485;80,7;76,3;3,1;1,3;16,3;3,0;1
013540103;38,0;33,0;1;10090;21980;37980;1,27;0;7560;12480;16760;27400;33910;42450;56190;so;30,5;0,462;77,3;72,1;3,7;1,5;20,8;1,9;0
014270101;59,0;19,0;2;16680;24980;33110;0,66;9270;14450;18790;21970;27630;31030;35650;43870;4,7;5,7;0,305;75,7;68,8;2,8;4,1;20,8;3,5;0
014270102;55,0;17,0;1;16390;23270;32080;0,67;10010;14920;17880;20650;26120;29740;34690;43090;4,3;5,8;0,322;73,4;65,9;3,0;4,5;22,2;4,4;0
014510101;67,0;5,0;2;21490;27130;34820;0,49;16890;20280;22840;25180;29880;32810;36980;45140;2,7;3,5;0,253;66,4;59,7;1,6;5,1;26,2;7,4;0
014510102;61,0;16,0;1;17350;24500;32560;0,62;10240;15470;19020;21920;27040;30350;34720;42230;4,1;4,9;0,287;65,7;60,3;2,3;3,1;30,3;4,0;0
021680101;42,0;38,0;1;9240;16920;25290;0,95;3800;7560;11090;14170;20010;23320;27580;34350;9,0;12,5;0,400;67,6;57,6;4,7;5,3;28,4;4,0;0
021680201;55,0;27,0;2;13570;21510;31600;0,84;7670;11960;15500;18890;24730;28990;34990;44330;5,8;7,9;0,370;65,1;54,5;3,4;7,2;28,5;6,4;0
021680301;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;so
021680401;45,0;29,0;2;12080;19520;28010;0,82;5410;9680;14110;17220;22490;25650;30080;37880;7,0;9,6;0,367;64,5;58,5;2,8;3,2;30,1;5,4;0
021680501;21,0;67,0;2;4340;9470;16570;1,29;200;3200;5320;7630;12160;14560;18760;23540;116,6;35,2;0,445;68,8;59,9;8,4;0,5;30,0;1,2;0
021680601;57,0;19,0;2;15300;23320;31940;0,71;10280;13970;17340;20000;26350;29840;34500;44800;4,4;6,1;0,340;60,5;51,1;2,6;6,8;34,9;4,6;0
021680701;39,0;41,0;1;9310;16590;24270;0,90;3860;7970;10780;13580;19460;22270;25920;32590;8,5;10,8;0,378;67,1;60,1;4,2;2,8;30,1;2,8;0
021730101;28,0;52,0;1;5820;13100;20550;1,12;290;4060;7110;10140;16060;19200;22740;28050;95,6;30,8;0,440;57,7;51,6;4,7;1,4;39,9;2,4;0
021730201;42,0;35,0;1;10380;18550;26640;0,88;3410;8290;12110;15690;21610;24670;29470;37720;11,1;12,7;0,399;62,4;54,3;3,0;5,1;33,6;4,0;0
021730301;49,0;26,0;1;13630;21430;29490;0,74;6060;11610;15610;18740;23940;27110;31820;41210;6,8;8,9;0,361;63,6;54,8;2,9;5,9;32,3;4,1;0
023400101;49,0;23,0;2;14890;20390;25950;0,54;9180;13050;16360;18310;22180;24370;27550;33270;3,6;4,5;0,267;67,5;61,4;3,0;3,1;30,7;1,8;0
023400201;43,0;31,0;2;10940;18850;25820;0,79;5330;9200;13360;16260;21580;24590;27620;33700;6,3;8,5;0,349;63,5;57,2;3,4;2,9;35,3;1,2;0
023400301;45,0;21,0;2;15350;21030;26260;0,52;7820;13480;16560;18980;22760;25400;28210;33340;4,3;4,9;0,261;54,2;49,9;2,9;1,4;44,3;1,5;0
023810101;27,0;50,0;1;6110;13720;20900;1,08;20;4000;7850;10720;16110;19090;22680;29340;1257,5;34,1;0,452;54,4;47,2;3,5;3,7;39,5;6,1;0
023810201;28,0;50,0;1;5240;13660;21010;1,15;100;3070;6710;10200;16550;19470;22720;28470;277,8;40,5;0,442;54,6;48,9;3,9;1,8;42,1;3,3;0
023810301;39,0;37,0;2;8910;17820;25210;0,91;1440;6290;10750;14760;20070;23800;26400;31750;22,0;16,6;0,382;56,6;50,8;2,7;3,1;40,8;2,6;0
023810401;27,0;45,0;2;6830;15340;21410;0,95;360;4960;9000;12180;17730;20180;22620;27980;77,1;21,5;0,383;55,9;51,3;3,2;1,4;41,3;2,8;0
024080101;19,0;67,0;1;2710;8710;16970;1,64;0;1510;4170;6170;11680;14840;19140;24130;so;106,0;0,491;57,5;49,5;7,2;0,8;41,5;1,0;0
024080102;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;so
024080103;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;so
024080201;39,0;40,0;1;9850;16500;23830;0,85;3730;8050;11190;13810;19100;22230;26110;31810;8,5;9,2;0,358;60,7;54,7;3,5;2,5;37,4;1,9;0
024080301;47,0;31,0;2;11230;20150;29150;0,89;3350;8410;12670;16790;23370;26660;31670;39140;11,7;12,8;0,388;62,9;54,2;3,2;5,5;32,5;4,6;0
024080401;53,0;23,0;2;13930;21960;31020;0,78;6540;12750;15680;18840;25620;28670;33650;42930;6,6;8,0;0,371;54,5;48,1;2,5;3,9;39,9;5,6;0
024080402;28,0;50,0;1;6680;13830;20660;1,01;830;5000;8240;11210;16120;18910;22530;27230;32,8;21,7;0,406;62,0;55,6;5,8;0,6;37,4;0,6;0
024080501;47,0;38,0;1;8600;19070;29570;1,10;760;6080;10380;14800;22670;27160;33500;45910;60,7;33,4;0,487;72,0;59,3;3,4;9,3;22,7;5,3;0
024080601;44,0;34,0;1;10300;18500;26320;0,87;3650;8520;12180;15630;21270;24570;28710;35250;9,7;10,7;0,370;66,0;59,6;3,2;3,2;31,2;2,8;0
024080701;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;so
024080801;35,0;45,0;1;6700;15300;23860;1,12;1130;5050;8390;12110;18910;22210;26050;31850;28,3;22,8;0,423;61,0;54,2;3,6;3,2;37,2;1,8;0
024080901;57,0;19,0;2;16480;23080;31330;0,64;9880;14340;18330;20840;25780;29040;34490;47290;4,8;7,1;0,350;58,8;53,5;2,2;3,1;35,6;5,6;0
026910101;50,0;27,0;1;12500;21860;34980;1,03;2940;9740;14980;17880;26330;31540;38530;55140;18,7;19,9;0,476;66,9;49,7;2,4;14,8;25,5;7,6;0
026910102;53,0;27,0;2;12620;24270;41230;1,18;4630;10260;15130;19510;29740;36520;46120;66930;14,5;20,3;0,477;66,3;51,8;1,9;12,6;25,2;8,5;0
026910103;43,0;39,0;2;8070;17610;28150;1,14;20;6100;10920;13920;21440;25140;31940;45070;1877,8;34,6;0,487;70,3;59,3;3,8;7,2;23,3;6,4;0
026910104;41,0;40,0;1;7350;17030;27720;1,20;680;5730;9750;13530;20460;25660;30770;42670;62,5;35,5;0,518;63,8;53,2;3,8;6,8;24,4;11,8;0
026910201;48,0;29,0;1;12460;20640;30490;0,87;4580;10760;14360;17370;23300;27560;32770;44150;9,6;15,0;0,464;65,1;56,2;2,5;6,4;24,8;10,1;0
026910202;53,0;25,0;2;13880;21380;28530;0,68;6350;11460;15460;19070;23950;27000;30620;39260;6,2;8,9;0,364;64,7;56,9;2,4;5,4;32,0;3,3;0
026910203;47,0;31,0;2;11680;20160;28480;0,83;4010;9720;13730;17020;23070;26300;31470;41360;10,3;11,7;0,391;50,2;43,5;2,2;4,5;45,0;4,8;0
026910204;21,0;69,0;2;640;6750;16270;2,31;0;50;1650;4630;10400;14180;18740;26270;so;19010,3;0,583;58,3;49,5;6,2;2,6;37,2;4,5;0
026910205;13,0;75,0;2;1710;6770;13600;1,75;0;930;3060;5100;8670;11450;15160;19020;so;188,4;0,503;59,3;s;s;s;39,8;0,9;0
026910206;25,0;59,0;2;3860;10810;18810;1,38;0;1980;4980;7660;13840;17760;20630;24980;so;81,2;0,462;35,0;s;s;s;63,9;1,1;0
026910207;27,0;55,0;2;5360;11940;19660;1,20;480;3890;6300;8820;15120;17950;21470;26570;55,5;22,3;0,419;43,6;s;s;s;55,2;1,2;0
026910208;55,0;25,0;2;14060;22130;31650;0,79;4250;11950;16040;18720;25500;29820;33860;44820;10,5;11,5;0,403;63,2;56,3;1,7;5,2;29,5;7,3;0
026910209;47,0;31,0;2;11760;20950;33910;1,06;5010;9620;13340;17340;24460;29740;38300;53300;10,6;13,9;0,437;68,8;58,0;2,2;8,6;26,4;4,8;0
026910210;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;so
026910301;33,0;47,0;2;6810;14810;21390;0,99;1260;5370;8860;11780;17320;19890;23890;29510;23,5;20,5;0,422;68,6;60,4;4,4;3,8;27,9;3,5;0
026910302;43,0;29,0;2;12010;18830;24890;0,68;4630;10320;13890;16470;20950;23260;26700;31900;6,9;8,0;0,327;64,0;57,3;3,1;3,6;33,8;2,2;0
026910303;25,0;53,0;1;5090;12680;19660;1,15;0;3130;6900;9570;15830;18240;21180;25260;so;38,8;0,412;49,8;44,8;4,3;0,7;49,6;0,6;0
026910304;33,0;45,0;1;7130;15200;22470;1,01;1270;5820;8810;12160;18120;20760;24210;30700;24,1;19,5;0,410;62,8;54,7;4,4;3,7;35,0;2,2;0
026910401;37,0;40,0;1;8970;17070;25020;0,94;2310;7420;11000;13910;20170;23270;27350;33740;14,6;13,5;0,390;59,1;51,8;3,3;4,0;37,7;3,2;0
026910402;35,0;39,0;2;8910;15830;23220;0,90;2340;7690;11110;13770;18500;21480;25190;30570;13,0;11,8;0,364;68,1;60,9;4,1;3,1;31,0;0,9;0
026910403;43,0;33,0;2;10860;18140;24880;0,77;4960;9360;12740;15840;20610;23300;26350;31960;6,4;8,4;0,329;59,4;55,0;2,8;1,6;39,0;1,6;0
026910501;37,0;40,0;1;8850;16530;23450;0,88;1210;7390;10540;13670;19150;21970;25770;31300;25,9;15,4;0,396;66,5;58,7;3,6;4,2;31,0;2,5;0
026910502;41,0;37,0;2;8780;18000;27180;1,02;3610;7120;11100;15110;21160;25250;28910;36620;10,1;13,5;0,396;65,5;56,7;4,0;4,8;30,2;4,3;0
026910503;19,0;63,0;2;3460;9440;17950;1,53;0;1850;4620;6880;12820;15900;19420;24550;so;106,7;0,476;66,1;57,8;6,9;1,4;33,2;0,7;0
026910504;43,0;31,0;2;11910;19370;26710;0,76;5570;9810;13250;16530;21970;24540;28350;34570;6,2;8,5;0,351;57,8;50,3;2,8;4,7;40,5;1,7;0
026910505;ns;ns;so;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;ns;so;so;ns;ns;ns;ns;ns;ns;ns;so
026910601;40,0;35,0;1;9930;17910;25260;0,86;2440;7680;11660;15360;20680;23340;27640;35090;14,4;15,0;0,401;66,5;58,4;3,3;4,8;29,8;3,7;0
027220101;25,0;65,0;2;3890;9760;17880;1,43;0;2930;5060;7680;12090;15450;19960;27930;so;58,6;0,505;50,8;42,0;5,1;3,7;43,0;6,2;0
027220102;11,0;79,0;2;1760;6910;13110;1,64;0;650;2690;4880;9300;11390;14140;18520;so;214,4;0,492;71,8;s;s;s;27,3;0,9;0
027220103;17,0;65,0;2;4730;9940;16780;1,21;150;3470;5620;7530;12510;15190;18430;23000;148,7;29,8;0,446;65,2;55,5;7,5;2,2;32,3;2,5;0
027220201;35,0;41,0;2;9430;15730;21510;0,77;2780;7360;10750;13550;17450;20240;22950;27380;9,8;9,6;0,341;56,2;s;s;s;41,9;1,9;0
027220301;63,0;13,0;2;18630;26590;37090;0,69;11640;16830;20300;23630;29710;33930;40070;50820;4,4;5,9;0,328;58,3;49,4;1,8;7,1;34,9;6,8;0
027220401;24,0;48,0;1;6170;14130;20520;1,02;0;4700;8190;11320;16630;18930;22160;26230;so;24,5;0,400;55,2;48,7;5,8;0,7;42,7;2,1;0
027220501;56,0;17,0;1;16280;24060;33250;0,71;10590;14970;17720;20890;27130;30910;37200;51800;4,9;7,0;0,372;58,8;49,5;2,5;6,8;31,1;10,1;0
027220502;43,0;33,0;1;10940;18830;28680;0,94;3370;9000;12760;15910;22720;26560;31410;42610;12,6;14,1;0,419;55,8;48,5;2,9;4,4;36,4;7,8;0
027220503;50,0;29,0;1;12060;21440;33370;0,99;5860;10390;13870;17890;25180;29540;36770;55020;9,4;13,5;0,447;61,9;50,1;2,7;9,1;27,2;10,9;0
027220601;21,0;63,0;2;4790;10430;18150;1,28;490;3370;6390;8280;13320;16200;19910;25570;51,9;25,7;0,435;77,7;69,8;6,5;1,4;21,3;1,0;0
027220701;49,0;25,0;1;13450;20480;28700;0,74;6170;11540;15640;17710;23270;26800;31540;39020;6,3;8,5;0,365;65,4;58,0;3,1;4,3;30,3;4,3;0
027220801;31,0;45,0;2;8980;15540;22430;0,87;3260;7540;10280;12740;18430;20980;25070;30630;9,4;11,1;0,371;71,4;64,6;4,7;2,1;27,0;1,6;0
027220901;53,0;25,0;2;13340;21970;31960;0,85;7430;11720;15850;19290;25320;30000;34120;46860;6,3;9,9;0,407;61,7;53,8;2,7;5,2;28,9;9,4;0
027380101;37,0;33,0;2;10320;18210;24860;0,80;4500;8540;12480;15290;20590;23210;26290;32180;7,1;8,3;0,337;63,3;57,8;3,0;2,5;34,2;2,5;0
027380102;29,0;45,0;2;8330;14800;20880;0,85;3910;6990;9840;12180;16940;19610;21990;26660;6,8;9,3;0,345;70,8;s;s;s;28,8;0,4;0
027380201;39,0;34,0;1;10800;18000;25000;0,79;3140;8850;12540;15490;20530;23410;26660;31690;10,1;9,7;0,342;63,6;57,2;3,9;2,5;35,1;1,3;0
027380301;39,0;34,0;1;10750;17810;24630;0,78;2650;9060;12130;15420;20200;23050;26350;31630;12,0;9,8;0,343;58,3;52,2;3,7;2,4;38,8;2,9;0
027380302;31,0;48,0;1;6010;14290;21290;1,07;780;4270;7590;10800;17340;20180;23340;28610;36,8;24,0;0,412;62,0;55,3;5,0;1,7;36,1;1,9;0
027380401;40,0;30,0;1;12380;18860;24880;0,66;5220;10290;13710;16530;21010;23290;26530;32340;6,2;7,3;0,316;61,3;55,2;3,6;2,5;36,7;2,0;0
028100102;43,0;28,0;1;13140;19440;26930;0,71;6550;10890;14610;16700;21900;25400;29270;36660;5,6;8,0;0,362;62,1;54,9;3,5;3,7;30,4;7,5;0
028100202;51,0;23,0;1;14420;21370;28930;0,68;8530;12720;15990;19020;23480;27120;31500;41570;4,9;6,9;0,358;65,1;59,2;2,8;3,1;27,0;7,9;0
028100302;51,0;16,0;1;16050;21670;27870;0,55;11240;14860;17260;19680;23950;26350;30550;36590;3,3;4,5;0,296;72,4;67,1;3,0;2,3;22,4;5,2;0
028100401;29,0;49,0;2;8140;14050;20980;0,91;3270;7010;9170;11700;16250;19280;22230;28010;8,6;9,5;0,360;78,5;s;s;s;21,0;0,5;0
030230101;47,0;32,0;1;10570;20000;29540;0,95;3120;7980;13080;16580;23320;26830;32450;42240;13,6;17,2;0,445;55,6;47,1;2,3;6,2;39,0;5,4;0
030230102;49,0;21,0;2;14910;22100;31910;0,77;8590;13450;16210;18880;25870;29040;34840;44030;5,1;6,9;0,349;53,5;47,4;2,2;3,9;39,8;6,7;0
030230103;55,0;27,0;2;13320;22450;31770;0,82;2960;10610;15730;19290;25790;29280;36880;46670;15,7;15,6;0,423;52,8;45,3;1,9;5,6;39,3;7,9;0
030230104;59,0;12,0;1;18030;25160;32190;0,56;12540;16280;19420;22570;27920;30780;35480;44880;3,6;5,5;0,332;49,4;42,8;2,1;4,5;42,5;8,1;0
030820101;51,0;15,0;2;16310;21880;27980;0,53;10830;15080;17590;19590;23730;26270;29390;34330;3,2;4,1;0,252;59,2;53,8;2,7;2,7;39,0;1,8;0
